	query	user name	text	url	hashtags	favorites	retweets
0	Why does trump not wear a mask?	Lorraine S. Haake	Wear a mask 	https://t.co/Gl02vE284h	No hashtags	1	0
1	Why does trump not wear a mask?	Putnam Progressives	"""Wear a Mask"" 😷 "	https://t.co/OsIEJLfMS1	No hashtags	0	0
2	Why does trump not wear a mask?	🌴☀️ SwaltyComputerChick.com	Wear a mask! 	https://t.co/yvvMxaXzFj	No hashtags	0	0
3	Why does trump not wear a mask?	CFO Enterprise, LLC	Wear a mask! 	https://t.co/IBDGV58zZS	No hashtags	0	0
4	Why does trump not wear a mask?	Blitz Gamer (Black Lives Matter, Trump is gone!)	WEAR A MASK 	https://t.co/2JditgVNRE	No hashtags	1	0
5	Why does trump not wear a mask?	Carrie	Wear a mask! 	https://t.co/J70qIBFBrs	No hashtags	0	0
6	Why does trump not wear a mask?	Sue Cottingham	WEAR. A. MASK!!! 	https://t.co/LX3nd8MS1N	No hashtags	0	0
7	Why does trump not wear a mask?	🌊💦Donald Trump is Evicted MOVING OUT🌊	Wear a Mask! 	https://t.co/vCokb1nSej	No hashtags	0	0
8	Why does trump not wear a mask?	marc alexander	Wear. A. Mask!! 	https://t.co/l2pg1WxjQT	No hashtags	0	0
9	Why does trump not wear a mask?	Utah Pig Bus Tailgate - GO UTES!	Wear a mask. 	https://t.co/lV2ouWl2rh	No hashtags	2	0
10	Why does trump not wear a mask?	Drmari26	Wear a mask! 	https://t.co/FZJATkd2NN	No hashtags	1	1
11	Why does trump not wear a mask?	kitten and nature memes for climate change	Wear a mask 	https://t.co/clIE1usxSN	No hashtags	1	0
12	Why does trump not wear a mask?	Betsy Baer	Wear. A. Mask. 	https://t.co/22fRs88otj	No hashtags	0	0
13	Why does trump not wear a mask?	Christopher Gorham	Wear a mask 	https://t.co/3SlcKcOxXu	No hashtags	22	3
